PMUN;PCAP;PTOT
824;8;832
67;0;67
1031;35;1066
14;0;14
95;0;95
605;15;620
63;0;63
99;5;104
1028;15;1043
2564;198;2762
133;2;135
147;4;151
417;8;425
189;4;193
127;3;130
386;14;400
136;6;142
252;56;308
122;9;131
57;0;57
557;10;567
127;0;127
766;19;785
1124;15;1139
290;6;296
960;28;988
73;2;75
1470;39;1509
63;1;64
299;6;305
138;1;139
86;3;89
1206;21;1227
687;107;794
848;20;868
5089;108;5197
27;0;27
72;2;74
492;20;512
74;1;75
188;0;188
176;3;179
272;6;278
220;1;221
482;5;487
149;4;153
1219;32;1251
633;6;639
571;12;583
52;1;53
836;14;850
135;3;138
16482;922;17404
110;2;112
388;12;400
102;2;104
372;11;383
816;21;837
172;3;175
1371;37;1408
392;4;396
493;7;500
59;2;61
303;17;320
133;2;135
5121;88;5209
207;4;211
92;0;92
118;4;122
62;1;63
2639;48;2687
90;0;90
1132;26;1158
385;5;390
88;5;93
133;3;136
179;3;182
385;11;396
380;10;390
4;0;4
1975;30;2005
322;4;326
1011;28;1039
1347;28;1375
22528;669;23197
451;14;465
121;2;123
3751;45;3796
123;1;124
118;1;119
639;11;650
511;10;521
1121;29;1150
417;6;423
406;15;421
322;3;325
221;9;230
59;1;60
203;2;205
144;1;145
237;1;238
553;20;573
720;15;735
313;8;321
42;0;42
281;6;287
523;9;532
127;3;130
365;9;374
54;0;54
5867;74;5941
353;1;354
1448;37;1485
253;9;262
2813;43;2856
202;4;206
520;13;533
3905;126;4031
92;1;93
179;1;180
264;1;265
691;8;699
407;8;415
85;5;90
1680;37;1717
329;8;337
258;6;264
525;11;536
88;1;89
1726;39;1765
288;5;293
104;3;107
75;0;75
121;0;121
738;10;748
1010;21;1031
145;2;147
91;1;92
119;4;123
45;0;45
1319;35;1354
105;2;107
79;4;83
48;1;49
215;2;217
142;3;145
136;3;139
99;4;103
41;1;42
867;8;875
627;14;641
114;3;117
13;2;15
1235;24;1259
180;7;187
96;2;98
597;13;610
3442;78;3520
177;4;181
640;21;661
122;3;125
132;2;134
475;9;484
163;4;167
1379;27;1406
425;8;433
103;4;107
602;16;618
7595;239;7834
89;4;93
178;3;181
130;1;131
234;5;239
748;19;767
231;3;234
244;6;250
379;11;390
335;8;343
100;1;101
594;14;608
287;7;294
39;0;39
252;5;257
3173;62;3235
245;6;251
268;8;276
226;2;228
61;1;62
108;0;108
126;3;129
249;5;254
192;5;197
4323;78;4401
1641;37;1678
3206;75;3281
383;6;389
397;11;408
917;15;932
2255;86;2341
358;8;366
369;5;374
99;3;102
803;12;815
419;9;428
620;14;634
127;5;132
180;2;182
256;2;258
2562;57;2619
325;10;335
150;4;154
142;1;143
239;3;242
11339;320;11659
220;8;228
215;7;222
285;3;288
199;4;203
155;4;159
887;25;912
188;1;189
136;3;139
40;0;40
30;3;33
1198;34;1232
506;20;526
319;17;336
705;12;717
3061;80;3141
127;3;130
1105;32;1137
6335;378;6713
125;4;129
203;6;209
57;0;57
821;9;830
29;1;30
805;12;817
520;11;531
433;4;437
328;4;332
334;11;345
255;6;261
217;5;222
904;19;923
179;8;187
40631;1545;42176
160;1;161
479;10;489
105;3;108
2312;85;2397
8;0;8
460;13;473
3543;51;3594
338;19;357
243;7;250
342;13;355
191;0;191
427;7;434
86;3;89
297;5;302
284;10;294
1060;23;1083
58;0;58
52;4;56
173;2;175
457;6;463
454;14;468
104;2;106
529;14;543
84;1;85
212;8;220
41;3;44
763;15;778
359;10;369
15;1;16
301;2;303
674;18;692
356;35;391
543;13;556
104;1;105
763;29;792
1154;40;1194
93;2;95
777;21;798
323;16;339
299;7;306
453;23;476
167;5;172
524;20;544
301;5;306
273;9;282
87;0;87
378;17;395
251;1;252
453;9;462
209;2;211
114;0;114
1340;28;1368
655;18;673
175;4;179
808;27;835
1528;38;1566
474;9;483
469;9;478
181;7;188
692;22;714
152;2;154
178;5;183
81;4;85
2063;75;2138
1531;45;1576
318;5;323
51;0;51
737;15;752
916;27;943
286;7;293
443;17;460
144;2;146
1075;93;1168
136;1;137
365;5;370
535;18;553
362;11;373
1128;37;1165
126;4;130
352;13;365
162;0;162
30;1;31
516;11;527
192;6;198
117;1;118
87;3;90
85;0;85
935;23;958
1443;36;1479
144;4;148
1076;42;1118
252;7;259
1285;27;1312
87;2;89
708;21;729
35;1;36
2285;52;2337
214;4;218
310;5;315
457;10;467
615;22;637
267;4;271
528;9;537
584;40;624
3216;144;3360
542;14;556
294;13;307
42;3;45
1477;53;1530
209;8;217
94;0;94
54;0;54
648;5;653
73438;1085;74523
175;0;175
2272;32;2304
3200;68;3268
31;2;33
109;1;110
2921;63;2984
3755;28;3783
13358;130;13488
690;11;701
947;6;953
1240;21;1261
551;4;555
254;4;258
9668;351;10019
1657;19;1676
566;11;577
731;4;735
554;6;560
2137;52;2189
217;2;219
1414;7;1421
1380;27;1407
52178;491;52669
411;4;415
74545;802;75347
41887;359;42246
1300;11;1311
4523;68;4591
12550;136;12686
1656;15;1671
1126;9;1135
400;4;404
298;3;301
3664;59;3723
942;8;950
63;0;63
401;6;407
665;12;677
822;4;826
7898;157;8055
73;2;75
3482;41;3523
95;1;96
7437;81;7518
110;2;112
531;6;537
98;2;100
179;2;181
143;1;144
5117;40;5157
150;3;153
142;2;144
2554;18;2572
611;15;626
2256;60;2316
1994;34;2028
96;3;99
317;1;318
73;0;73
4173;56;4229
7010;105;7115
1599;11;1610
1493;13;1506
373;10;383
48870;922;49792
570;13;583
600;7;607
162;1;163
653;12;665
1241;10;1251
4761;46;4807
47;3;50
1294;12;1306
321;7;328
21998;283;22281
106;4;110
118;2;120
103;1;104
30525;456;30981
9887;282;10169
19982;439;20421
251;2;253
44;0;44
342669;2859;345528
2295;74;2369
7996;89;8085
2370;18;2388
1465;13;1478
206;1;207
783;9;792
8192;187;8379
105;0;105
335;0;335
126;1;127
1840;81;1921
231;0;231
184;2;186
91;5;96
1833;49;1882
12839;202;13041
7183;195;7378
577;8;585
68;1;69
5385;94;5479
950;4;954
120;3;123
119;4;123
4072;122;4194
1338;22;1360
5695;29;5724
87;0;87
215;3;218
1240;9;1249
3903;100;4003
108;2;110
1494;160;1654
1492;8;1500
4246;110;4356
29169;183;29352
49;0;49
152;7;159
3095;19;3114
1444;12;1456
3252;70;3322
306;82;388
3654;104;3758
48;2;50
458;10;468
71;1;72
540;8;548
197;2;199
3805;85;3890
1161;24;1185
1362;14;1376
110;3;113
3066;53;3119
347;1;348
299;2;301
664;11;675
553;4;557
133;1;134
155;1;156
5013;46;5059
4041;100;4141
10115;65;10180
2981;55;3036
867;1;868
13486;554;14040
835;285;1120
464;8;472
27364;179;27543
161;1;162
18940;302;19242
776;3;779
5033;35;5068
89;2;91
16285;236;16521
696;10;706
2166;49;2215
376;12;388
551;18;569
170;1;171
81;1;82
1464;35;1499
158;6;164
989;14;1003
1458;52;1510
1205;23;1228
16297;623;16920
894;18;912
377;9;386
1253;22;1275
326;7;333
535;23;558
763;16;779
44;0;44
12479;776;13255
468;11;479
1254;26;1280
374;6;380
661;22;683
206;2;208
254;8;262
1844;30;1874
516;10;526
251;3;254
207;5;212
761;18;779
164;1;165
220;4;224
251;3;254
614;19;633
444;11;455
146;3;149
49;0;49
252;7;259
259;5;264
2376;65;2441
7187;165;7352
260;8;268
522;7;529
84;0;84
336;7;343
54;3;57
941;16;957
581;20;601
616;10;626
523;3;526
254;9;263
2979;74;3053
913;18;931
1039;35;1074
240;7;247
263;5;268
415;12;427
150;3;153
397;9;406
2877;156;3033
236;3;239
3015;173;3188
318;4;322
572;6;578
657;22;679
2311;49;2360
790;13;803
1662;42;1704
520;11;531
151;4;155
149;4;153
3063;66;3129
254;2;256
3168;87;3255
1162;21;1183
297;7;304
58;1;59
205;12;217
434;10;444
1028;37;1065
619;14;633
931;19;950
433;8;441
97;2;99
1713;48;1761
1224;17;1241
333;12;345
46;1;47
275;8;283
178;3;181
460;3;463
371;3;374
693;18;711
81;4;85
633;18;651
499;19;518
911;21;932
10756;221;10977
310;3;313
87;2;89
99;3;102
132;1;133
1273;23;1296
119;8;127
297;6;303
1752;28;1780
169;5;174
248;7;255
308;7;315
201;2;203
671;11;682
1358;22;1380
2206;35;2241
145;6;151
255;5;260
61;0;61
192;0;192
1657;46;1703
165;3;168
