id_mutation;Date_mutation;Nature_mutation;valeur_fonciere;id_bien_immo
373;06/01/2020;Vente;130000;373
374;06/01/2020;Vente;265320;374
375;06/01/2020;Vente;325000;375
376;06/01/2020;Vente;99900;376
377;06/01/2020;Vente;130000;377
378;06/01/2020;Vente;202380;378
379;06/01/2020;Vente;300000;379
380;06/01/2020;Vente;38200;380
381;06/01/2020;Vente;240000;381
382;06/01/2020;Vente;43000;382
383;06/01/2020;Vente;169000;383
384;06/01/2020;Vente;368000;384
385;06/01/2020;Vente;106574,1;385
386;06/01/2020;Vente;449000;386
387;06/01/2020;Vente;334450;387
388;06/01/2020;Vente;380000;388
389;06/01/2020;Vente;1829700;389
390;06/01/2020;Vente;3380000;390
391;06/01/2020;Vente;1565002;391
392;06/01/2020;Vente;800000;392
393;06/01/2020;Vente;362050;393
394;06/01/2020;Vente;482000;394
395;06/01/2020;Vente;601400;395
396;06/01/2020;Vente;506500;396
397;06/01/2020;Vente;204650;397
398;06/01/2020;Vente;1475700;398
399;06/01/2020;Vente;551800;399
400;06/01/2020;Vente;362300;400
401;06/01/2020;Vente;295700;401
402;06/01/2020;Vente;688292;402
403;06/01/2020;Vente;596650;403
404;06/01/2020;Vente;471000;404
405;06/01/2020;Vente;95000;405
406;06/01/2020;Vente;590000;406
407;06/01/2020;Vente;533000;407
408;06/01/2020;Vente;126000;408
409;06/01/2020;Vente;607500;409
410;06/01/2020;Vente;7420000;410
411;06/01/2020;Vente;328950;411
412;06/01/2020;Vente;552800;412
413;06/01/2020;Vente;343000;413
414;06/01/2020;Vente;532000;414
415;06/01/2020;Vente;1613000;415
416;06/01/2020;Vente;352500;416
417;06/01/2020;Vente;276930;417
418;06/01/2020;Vente;1188000;418
419;06/01/2020;Vente;112000;419
420;06/01/2020;Vente;403000;420
421;06/01/2020;Vente;60000;421
422;06/01/2020;Vente;124000;422
423;06/01/2020;Vente;225000;423
424;06/01/2020;Vente;185500;424
425;06/01/2020;Vente;113000;425
426;06/01/2020;Vente;45000;426
427;06/01/2020;Vente;189000;427
428;06/01/2020;Vente;145000;428
429;06/01/2020;Vente;257000;429
430;06/01/2020;Vente;175000;430
431;06/01/2020;Vente;370050;431
432;06/01/2020;Vente;128000;432
433;06/01/2020;Vente;168500;433
434;06/01/2020;Vente;582000;434
435;06/01/2020;Vente;181500;435
436;06/01/2020;Vente;240750;436
437;06/01/2020;Vente;271500;437
438;06/01/2020;Vente;102820;438
439;06/01/2020;Vente;740000;439
440;06/01/2020;Vente;54000;440
441;06/01/2020;Vente;224900;441
442;06/01/2020;Vente;90000;442
443;06/01/2020;Vente;148500;443
444;06/01/2020;Vente;372841;444
445;06/01/2020;Vente;235200;445
446;06/01/2020;Vente;80000;446
447;06/01/2020;Vente;182500;447
448;06/01/2020;Vente;103000;448
449;06/01/2020;Vente;51000;449
450;06/01/2020;Vente;134500;450
451;06/01/2020;Vente;39000;451
452;06/01/2020;Vente;168636,6;452
453;06/01/2020;Vente;265000;453
454;06/01/2020;Vente;134000;454
455;06/01/2020;Vente;291150;455
456;06/01/2020;Vente;377000;456
457;06/01/2020;Vente;391200;457
458;06/01/2020;Vente;476469;458
459;06/01/2020;Vente;910000;459
460;06/01/2020;Vente;186000;460
461;06/01/2020;Vente;164000;461
462;06/01/2020;Vente;185000;462
463;06/01/2020;Vente;388326;463
464;06/01/2020;Vente;606820;464
465;06/01/2020;Vente;423100;465
466;06/01/2020;Vente;518192;466
467;06/01/2020;Vente;345000;467
468;06/01/2020;Vente;335000;468
469;06/01/2020;Vente;121000;469
470;06/01/2020;Vente;380000;470
471;06/01/2020;Vente;1550000;471
472;06/01/2020;Vente;645000;472
473;06/01/2020;Vente;825750;473
474;06/01/2020;Vente;345000;474
475;06/01/2020;Vente;166000;475
476;06/01/2020;Vente;254800;476
477;06/01/2020;Vente;460000;477
478;06/01/2020;Vente;1225000;478
479;06/01/2020;Vente;354750;479
480;06/01/2020;Vente;196800;480
481;06/01/2020;Vente;156350;481
482;06/01/2020;Vente;350000;482
483;06/01/2020;Vente;644000;483
484;06/01/2020;Vente;319000;484
485;06/01/2020;Vente;160000;485
486;06/01/2020;Vente;240000;486
487;06/01/2020;Vente;435000;487
488;06/01/2020;Vente;408000;488
489;06/01/2020;Vente;153000;489
490;06/01/2020;Vente;187000;490
491;06/01/2020;Vente;420600;491
492;06/01/2020;Vente;281000;492
493;06/01/2020;Vente;168500;493
494;06/01/2020;Vente;267000;494
495;06/01/2020;Vente;129000;495
496;06/01/2020;Vente;197050;496
497;06/01/2020;Vente;389980;497
498;06/01/2020;Vente;109000;498
499;06/01/2020;Vente;195000;499
500;06/01/2020;Vente;137000;500
501;06/01/2020;Vente;189800;501
502;06/01/2020;Vente;285500;502
503;06/01/2020;Vente;165000;503
504;06/01/2020;Vente;225000;504
505;06/01/2020;Vente;252000;505
506;06/01/2020;Vente;244783,25;506
507;06/01/2020;Vente;1400000;507
508;06/01/2020;Vente;240750;508
509;06/01/2020;Vente;100000;509
510;06/01/2020;Vente;660000;510
511;06/01/2020;Vente;1690000;511
512;06/01/2020;Vente;130000;512
513;06/01/2020;Vente;179500;513
514;06/01/2020;Vente;212500;514
515;06/01/2020;Vente;208000;515
516;06/01/2020;Vente;181230;516
517;07/01/2020;Vente;220900;517
518;07/01/2020;Vente;212150;518
519;07/01/2020;Vente;262000;519
520;07/01/2020;Vente;131990;520
521;07/01/2020;Vente;133950;521
522;07/01/2020;Vente;405000;522
523;07/01/2020;Vente;151000;523
524;07/01/2020;Vente;581097,6;524
525;07/01/2020;Vente;245000;525
526;07/01/2020;Vente;198000;526
527;07/01/2020;Vente;233000;527
528;07/01/2020;Vente;73500;528
529;07/01/2020;Vente;140000;529
530;07/01/2020;Vente;66000;530
531;07/01/2020;Vente;42500;531
532;07/01/2020;Vente;59000;532
533;07/01/2020;Vente;66820;533
534;07/01/2020;Vente;51000;534
535;07/01/2020;Vente;257965;535
536;07/01/2020;Vente;150000;536
537;07/01/2020;Vente;172000;537
538;07/01/2020;Vente;75000;538
539;07/01/2020;Vente;140000;539
540;07/01/2020;Vente;169600;540
541;07/01/2020;Vente;12000;541
542;07/01/2020;Vente;74900;542
543;07/01/2020;Vente;162000;543
544;07/01/2020;Vente;88000;544
545;07/01/2020;Vente;87000;545
546;07/01/2020;Vente;361000;546
547;07/01/2020;Vente;218000;547
548;07/01/2020;Vente;159000;548
549;07/01/2020;Vente;107000;549
550;07/01/2020;Vente;82500;550
551;07/01/2020;Vente;123000;551
552;07/01/2020;Vente;97000;552
553;07/01/2020;Vente;39000;553
554;07/01/2020;Vente;34450;554
555;07/01/2020;Vente;80300;555
556;07/01/2020;Vente;102000;556
557;07/01/2020;Vente;92600;557
558;07/01/2020;Vente;59000;558
559;07/01/2020;Vente;84500;559
560;07/01/2020;Vente;111800;560
561;07/01/2020;Vente;51500;561
562;07/01/2020;Vente;73773,58;562
563;07/01/2020;Vente;166450;563
564;07/01/2020;Vente;165000;564
565;07/01/2020;Vente;371500;565
566;07/01/2020;Vente;150400;566
567;07/01/2020;Vente;204620;567
568;07/01/2020;Vente;118400;568
569;07/01/2020;Vente;216000;569
570;07/01/2020;Vente;233000;570
571;07/01/2020;Vente;60000;571
572;07/01/2020;Vente;123000;572
573;07/01/2020;Vente;144310;573
574;07/01/2020;Vente;76400;574
575;07/01/2020;Vente;69000;575
576;07/01/2020;Vente;128420;576
577;07/01/2020;Vente;80750;577
578;07/01/2020;Vente;196400;578
579;07/01/2020;Vente;57000;579
580;07/01/2020;Vente;602500;580
581;07/01/2020;Vente;283050;581
582;07/01/2020;Vente;192000;582
583;07/01/2020;Vente;61610;583
584;07/01/2020;Vente;86980;584
585;07/01/2020;Vente;84800;585
586;07/01/2020;Vente;253000;586
587;07/01/2020;Vente;56500;587
588;07/01/2020;Vente;45600;588
589;07/01/2020;Vente;245230;589
590;07/01/2020;Vente;119000;590
591;07/01/2020;Vente;92000;591
592;07/01/2020;Vente;179900;592
593;07/01/2020;Vente;98000;593
594;07/01/2020;Vente;127000;594
595;07/01/2020;Vente;167300;595
596;07/01/2020;Vente;143300;596
597;07/01/2020;Vente;52000;597
598;07/01/2020;Vente;92000;598
599;07/01/2020;Vente;137900;599
600;07/01/2020;Vente;172900;600
601;07/01/2020;Vente;132197;601
602;07/01/2020;Vente;11000;602
603;07/01/2020;Vente;120000;603
604;07/01/2020;Vente;585000;604
605;07/01/2020;Vente;67500;605
606;07/01/2020;Vente;31500;606
607;07/01/2020;Vente;275000;607
608;07/01/2020;Vente;74000;608
609;07/01/2020;Vente;90000;609
610;07/01/2020;Vente;209750;610
611;07/01/2020;Vente;196500;611
612;07/01/2020;Vente;142040;612
613;07/01/2020;Vente;183400;613
614;07/01/2020;Vente;170000;614
615;07/01/2020;Vente;261470;615
616;07/01/2020;Vente;630000;616
617;07/01/2020;Vente;40000;617
618;07/01/2020;Vente;207200;618
619;07/01/2020;Vente;266000;619
620;07/01/2020;Vente;223090;620
621;07/01/2020;Vente;1250000;621
622;07/01/2020;Vente;680000;622
623;07/01/2020;Vente;459000;623
624;07/01/2020;Vente;312000;624
625;07/01/2020;Vente;519000;625
626;07/01/2020;Vente;324000;626
627;07/01/2020;Vente;308729;627
628;07/01/2020;Vente;554690;628
629;07/01/2020;Vente;231000;629
630;07/01/2020;Vente;189000;630
631;07/01/2020;Vente;145000;631
632;07/01/2020;Vente;192500;632
633;07/01/2020;Vente;337000;633
634;07/01/2020;Vente;200000;634
635;07/01/2020;Vente;70000;635
636;07/01/2020;Vente;371270;636
637;07/01/2020;Vente;108600;637
638;07/01/2020;Vente;423000;638
639;07/01/2020;Vente;132500;639
640;07/01/2020;Vente;287000;640
641;07/01/2020;Vente;468000;641
642;07/01/2020;Vente;111500;642
643;07/01/2020;Vente;175000;643
644;07/01/2020;Vente;47500;644
645;07/01/2020;Vente;116000;645
646;07/01/2020;Vente;78500;646
647;07/01/2020;Vente;138500;647
648;07/01/2020;Vente;540000;648
649;07/01/2020;Vente;71500;649
650;07/01/2020;Vente;421280;650
651;07/01/2020;Vente;234000;651
652;07/01/2020;Vente;199120;652
653;07/01/2020;Vente;339200;653
654;07/01/2020;Vente;514142;654
655;07/01/2020;Vente;201813;655
656;07/01/2020;Vente;202500;656
657;07/01/2020;Vente;220000;657
658;07/01/2020;Vente;315000;658
659;07/01/2020;Vente;149000;659
660;07/01/2020;Vente;35000;660
661;08/01/2020;Vente;720000;661
662;08/01/2020;Vente;190000;662
663;08/01/2020;Vente;241030;663
664;08/01/2020;Vente;620000;664
665;08/01/2020;Vente;97500;665
666;08/01/2020;Vente;309000;666
667;08/01/2020;Vente;490000;667
668;08/01/2020;Vente;340750;668
669;08/01/2020;Vente;214700;669
670;08/01/2020;Vente;415000;670
671;08/01/2020;Vente;195000;671
672;08/01/2020;Vente;205000;672
673;08/01/2020;Vente;146880;673
674;08/01/2020;Vente;95000;674
675;08/01/2020;Vente;57000;675
676;08/01/2020;Vente;48420;676
677;08/01/2020;Vente;93500;677
678;08/01/2020;Vente;98000;678
679;08/01/2020;Vente;75500;679
680;08/01/2020;Vente;105000;680
681;08/01/2020;Vente;119800;681
682;08/01/2020;Vente;40000;682
683;08/01/2020;Vente;152000;683
684;08/01/2020;Vente;85000;684
685;08/01/2020;Vente;68000;685
686;08/01/2020;Vente;65748;686
687;08/01/2020;Vente;76500;687
688;08/01/2020;Vente;242000;688
689;08/01/2020;Vente;223400;689
690;08/01/2020;Vente;201400;690
691;08/01/2020;Vente;215000;691
692;08/01/2020;Vente;148000;692
693;08/01/2020;Vente;187000;693
694;08/01/2020;Vente;22000;694
695;08/01/2020;Vente;21750;695
696;08/01/2020;Vente;68500;696
697;08/01/2020;Vente;108000;697
698;08/01/2020;Vente;500000;698
699;08/01/2020;Vente;248910;699
700;08/01/2020;Vente;85800;700
701;08/01/2020;Vente;130000;701
702;08/01/2020;Vente;163400;702
703;08/01/2020;Vente;257500;703
704;08/01/2020;Vente;133200;704
705;08/01/2020;Vente;139000;705
706;08/01/2020;Vente;243000;706
707;08/01/2020;Vente;218000;707
708;08/01/2020;Vente;149400;708
709;08/01/2020;Vente;147800;709
710;08/01/2020;Vente;133900;710
711;08/01/2020;Vente;160000;711
712;08/01/2020;Vente;79000;712
713;08/01/2020;Vente;278400;713
714;08/01/2020;Vente;273600;714
715;08/01/2020;Vente;120930;715
716;08/01/2020;Vente;100000;716
717;08/01/2020;Vente;106500;717
718;08/01/2020;Vente;149000;718
719;08/01/2020;Vente;165200;719
720;08/01/2020;Vente;58000;720
721;08/01/2020;Vente;145000;721
722;08/01/2020;Vente;54500;722
723;08/01/2020;Vente;283000;723
724;08/01/2020;Vente;237000;724
725;08/01/2020;Vente;153190;725
726;08/01/2020;Vente;65210;726
727;08/01/2020;Vente;185000;727
728;08/01/2020;Vente;45082;728
729;08/01/2020;Vente;92000;729
730;08/01/2020;Vente;141000;730
731;08/01/2020;Vente;43000;731
732;08/01/2020;Vente;138400;732
733;08/01/2020;Vente;78000;733
734;08/01/2020;Vente;141650;734
735;08/01/2020;Vente;61750;735
736;08/01/2020;Vente;92800;736
737;08/01/2020;Vente;106500;737
